volume,order,main_tex_line,file,heading,toc_start_page,lines,words,labels,refs,cites,theorems,definitions,examples,remarks,ClaimStatusProvedHere,ClaimStatusProvedElsewhere,ClaimStatusConjectured,ClaimStatusConditional,ClaimStatusNeedsVerification,Conditional,Conjectured,NeedsVerification,band,suggested_operation
V2,1,689,chapters/frame/preface.tex,Preface,19,1308,7673,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,retain
V2,2,691,chapters/theory/introduction.tex,Introduction,35,1375,8325,16,132,6,0,0,0,0,3,0,0,0,0,0,0,0,Core,split
V2,3,723,chapters/theory/foundations.tex,The bar complex as Swiss-cheese algebra,55,501,3354,24,17,9,3,6,0,6,2,0,0,1,0,1,0,0,Core,retain
V2,4,724,chapters/theory/locality.tex,Holomorphic--Topological Locality,61,498,4390,21,16,9,5,8,0,4,5,0,0,0,0,0,0,0,Core,retain
V2,5,725,chapters/theory/axioms.tex,Concrete axioms for $A_\infty$ chiral algebras,,658,5832,44,67,11,6,5,1,3,6,0,0,0,0,0,0,0,Core,retain
V2,6,726,chapters/theory/equivalence.tex,From $W(\mathsf{SC,,40,387,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,retain
V2,7,727,chapters/theory/bv-construction.tex,BV-BRST construction,80,178,1785,24,23,2,10,1,0,1,2,6,0,2,0,2,0,0,Core,retain
V2,8,750,chapters/theory/fm-calculus.tex,Fulton--MacPherson Calculus and Proof of $A_\infty$ Relations,,1010,11340,32,72,5,11,6,4,8,11,0,0,0,0,0,0,0,Core,retain
V2,9,751,chapters/theory/pva-descent-repaired.tex,Cohomological descent to a shifted Poisson vertex algebra,109,1064,5677,50,50,1,15,0,4,4,17,0,0,0,0,0,0,0,Core,retain
V2,10,753,chapters/connections/hochschild.tex,Chiral Hochschild Cohomology and Bulk--Boundary Correspondence,121,1129,8627,49,31,18,16,6,0,7,16,5,1,0,0,0,1,0,Core,retain
V2,11,754,chapters/connections/bar-cobar-review.tex,Chiral Bar--Cobar Duality and Koszul Duality Beyond Quadratic (Review of Chiral Koszul duality i.e. the Closed Color),136,854,6009,31,40,5,10,4,2,13,9,2,0,0,0,0,0,0,Core,retain
V2,12,755,chapters/connections/brace.tex,Chiral Hochschild cochains as a brace algebra on $\FM(\C)\times\Conf(\R)$,,184,2003,13,6,2,4,2,0,2,4,0,0,0,0,0,0,0,Core,retain
V2,13,777,chapters/connections/line-operators.tex,"Line Operators, Koszul Duality, and Spectral $R$-Matrices",153,970,6780,57,45,17,8,6,3,11,16,1,0,0,0,0,0,0,Core,retain
V2,14,778,chapters/connections/spectral-braiding.tex,Bulk–boundary functoriality and spectral $R(z)$,164,1982,13741,77,121,14,18,6,1,19,20,1,2,0,0,0,2,0,Core,split
V2,15,779,chapters/connections/ht_bulk_boundary_line.tex,The bulk-boundary-line Koszul triangle,189,2859,16679,103,89,14,32,16,5,12,43,2,6,0,0,0,6,0,Frontier,split
V2,16,780,chapters/connections/celestial_boundary_transfer.tex,"Celestial and boundary transfer: wedge algebras, obstruction towers, and the Airy--Witt realization",,1557,8150,81,23,0,38,5,0,8,36,0,2,0,0,0,2,0,Core,split
V2,17,781,chapters/connections/physical_origins.tex,Physical origins,,181,1426,19,0,9,3,0,1,5,0,3,6,0,0,0,6,0,Frontier,split; canonical chapter
V2,18,782,chapters/connections/holomorphic_topological.tex,Holomorphic-topological boundary conditions and 4d origins,,836,6005,32,6,35,13,6,6,14,12,9,11,0,0,1,11,0,Frontier,split; canonical chapter
V2,19,783,chapters/connections/bv_ht_physics.tex,Holomorphic-topological field theories,265,313,2161,7,0,4,4,3,2,6,0,4,2,0,0,0,2,0,Core,retain
V2,20,810,chapters/examples/rosetta_stone.tex,The Heisenberg Rosetta Stone,275,1032,5846,44,25,0,9,0,0,6,8,3,1,0,0,0,1,0,Standard models,retain
V2,21,811,chapters/examples/examples-computing.tex,Explicit examples,284,486,3546,26,22,2,9,0,0,9,8,0,0,2,0,2,0,0,Standard models,retain
V2,22,812,chapters/examples/examples-complete.tex,Explicit Examples: Complete Computations of $A_\infty$ Operations,,937,5643,43,26,5,15,0,1,3,9,2,0,6,0,6,0,0,Frontier,split
V2,23,813,chapters/examples/examples-worked.tex,Worked examples,306,441,2768,23,4,8,8,0,1,4,1,4,0,3,0,3,0,0,Standard models,retain
V2,24,814,chapters/examples/w-algebras.tex,W-Algebras as $A_\infty$ Chiral Algebras: Virasoro and $W_3$,,1547,10834,57,27,12,14,4,0,9,2,2,0,12,0,12,0,0,Frontier,split
V2,25,832,chapters/connections/modular_pva_quantization.tex,Status conventions and scope,355,2397,12983,95,50,16,38,17,0,26,42,0,2,2,0,6,2,0,Frontier,split
V2,26,833,chapters/connections/affine_half_space_bv.tex,The affine half-space BV theorem and its transport to Virasoro and \texorpdfstring{$W_3$,,701,4576,29,22,0,13,2,0,9,14,0,1,0,0,0,1,0,Core,retain
V2,27,834,chapters/connections/fm3_planted_forest_synthesis.tex,The governing mechanism,410,509,2753,14,7,0,6,2,0,0,6,0,0,0,0,0,0,0,Core,retain
V2,28,863,chapters/connections/3d_gravity.tex,Three-dimensional gravity from $E_1$-chiral Koszul duality,418,687,3483,32,11,1,6,2,0,1,4,1,1,0,0,0,1,0,Frontier,retain
V2,29,864,chapters/connections/ym_synthesis.tex,"Toward the platonic ideal: twisted and untwisted Yang--Mills through bar--cobar, higher operations, instantons, and the infrared",424,1684,9868,79,63,0,39,24,0,8,37,0,0,2,0,4,0,0,Frontier,split
V2,30,865,chapters/connections/celestial_holography.tex,Modular twisted/celestial holography from first principles,446,1908,10963,135,46,32,31,20,0,14,21,12,10,0,0,0,10,0,Frontier,split
V2,31,866,chapters/connections/log_ht_monodromy.tex,"Introduction: the local law, the global law, and the bridge",484,1591,11514,74,52,14,39,9,1,5,45,0,3,0,0,0,3,0,Frontier,split
V2,32,867,chapters/connections/anomaly_completed_topological_holography.tex,Anomaly-completed topological holography from first principles,511,2832,15567,105,78,8,36,7,1,20,42,0,2,0,0,0,2,0,Frontier,split
V2,33,870,chapters/connections/dg_shifted_factorization_bridge.tex,From dg-Shifted Yangians to Spectral Factorization Quantum Groups,,1233,5814,23,13,4,26,8,0,4,26,0,0,0,0,2,0,0,Core,retain
V2,34,873,chapters/connections/ordered_associative_chiral_kd.tex,Ordered Associative Chiral Koszul Duality,,2549,13900,86,127,0,35,15,0,14,41,2,3,0,0,0,3,0,Core,split
V2,35,879,chapters/connections/conclusion.tex,Conclusion and Outlook,590,266,1784,5,23,1,0,0,0,2,0,0,3,0,0,0,3,0,Core,retain
V2,36,880,chapters/connections/concordance.tex,Concordance: Status Ledger and Cross-Volume Bridges,594,463,3587,10,89,1,3,0,0,5,3,0,0,0,0,4,0,0,Atlas,back-matter
V2,37,888,chapters/theory/raviolo.tex,Relation to raviolo vertex algebras,601,448,4707,19,43,20,8,1,1,4,3,0,0,5,0,5,0,0,Frontier,split
V2,38,889,chapters/theory/raviolo-restriction.tex,Raviolo restriction: Čech/Thom--Sullivan model and coinvariants,610,52,440,9,3,3,3,2,0,1,1,1,0,1,0,1,0,0,Core,retain
V2,39,890,appendices/brace-signs.tex,Brace signs and degree conventions,611,108,1185,6,5,2,2,1,4,1,2,0,0,0,0,0,0,0,Core,retain
